"acousticness","danceability","duration_ms","energy","explicit","instrumentalness","key","liveness","loudness","mode","popularity","release_date","speechiness","tempo","valence","year","season","pop_binary","pop_binom"
0.0897,0.804,169.3,0.509,"0",0.861,"9",0.0808,-11.832,"0",19,2018-04-16,0.0435,130.011,0.732,"2018","Spring",0,19
0.0403,0.537,209.167,0.856,"0",0.94,"7",0.085,-8.412,"1",17,2018-11-02,0.0365,102.057,0.181,"2018","Fall",0,17
0.00226,0.221,270.547,0.976,"0",0,"1",0.303,-5.406,"0",15,2016-05-13,0.115,169.938,0.22,"2016","Spring",0,15
0.0063,0.567,258.693,0.889,"0",6.54e-06,"1",0.18,-4.963,"1",14,2016-05-13,0.0319,95.032,0.51,"2016","Spring",0,14
0.0397,0.313,326.947,0.931,"0",1.1e-06,"3",0.39,-4.116,"0",17,2016-05-13,0.0902,170,0.234,"2016","Spring",0,17
0.00253,0.861,440.656,0.555,"1",0.908,"0",0.0979,-9.263,"1",14,2019-04-12,0.0628,121.992,0.356,"2019","Spring",0,14
0.0015,0.352,275.68,0.937,"0",4.35e-06,"8",0.173,-5.944,"0",9,2016-05-13,0.0652,169.875,0.463,"2016","Spring",0,9
0.00294,0.438,310.893,0.975,"0",0.0632,"8",0.16,-5.84,"0",11,2016-05-13,0.176,154.907,0.291,"2016","Spring",0,11
0.000223,0.351,246,0.944,"0",0.00125,"5",0.126,-9.556,"0",6,2016-05-13,0.0809,105.748,0.33,"2016","Spring",0,6
0.000206,0.305,341.667,0.931,"0",0.000164,"3",0.104,-8.931,"0",7,2016-05-13,0.0713,106.857,0.373,"2016","Spring",0,7
0.000226,0.484,251.627,0.947,"0",0.000791,"11",0.197,-5.994,"1",10,2016-05-13,0.0552,143.042,0.541,"2016","Spring",0,10
0.00809,0.0958,283.827,0.462,"0",0.66,"4",0.101,-13.4,"0",6,2016-05-13,0.036,177.76,0.0638,"2016","Spring",0,6
0.000672,0.331,376.56,0.908,"0",0.000566,"11",0.396,-5.563,"1",7,2016-05-13,0.11,174.883,0.231,"2016","Spring",0,7
0.00167,0.231,295.373,0.97,"0",3.2e-05,"1",0.206,-3.209,"1",9,2016-05-13,0.178,164.692,0.191,"2016","Spring",0,9
0.000585,0.519,249.76,0.964,"0",9.59e-05,"10",0.141,-3.744,"0",9,2016-05-13,0.0461,110.026,0.344,"2016","Spring",0,9
0.0148,0.24,314.973,0.929,"0",0,"3",0.115,-8.623,"0",7,2016-05-13,0.111,93.256,0.295,"2016","Spring",0,7
0.00126,0.344,216.2,0.913,"0",0.000595,"1",0.071,-5.998,"0",6,2016-05-13,0.0434,129.185,0.594,"2016","Spring",0,6
0.00375,0.345,324.813,0.931,"0",1.36e-05,"11",0.285,-5.907,"1",8,2016-05-13,0.26,149.994,0.104,"2016","Spring",0,8
0.000717,0.585,457.306,0.866,"0",0.846,"9",0.159,-6.126,"0",22,2020-01-06,0.034,127.009,0.45,"2020","Winter",0,22
